year,weight,gender,race1R,hispanic,ethnic1R,age,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2010,2251.13322,1,1,2,1,7,1,5,1,4,2,4,2,2,0,1,4,2,0,0,2,1
2010,3904.24534,1,2,2,2,4,1,1,5,3,1,4,1,1,1,1,2,1,0,0,2,1
2010,2200.56267,1,1,2,1,4,1,2,3,3,1,5,2,2,0,1,4,2,1,2,2,3
2010,2491.68588,1,1,1,4,5,2,1,1,3,1,4,2,2,0,1,4,2,0,0,2,3
2010,2649.63868,1,1,2,1,5,1,4,0,3,2,4,2,2,0,1,4,2,1,1,2,3
2010,4139.15102,1,1,1,4,4,1,2,1,3,1,4,2,2,0,1,4,2,1,1,2,2
2010,3433.49326,1,1,2,1,7,4,4,0,3,2,4,1,3,5,1,4,2,0,0,2,1
2010,3677.92791,2,1,2,1,6,2,88,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2010,2953.4779,1,2,2,2,2,1,88,1,3,1,4,1,2,0,1,4,2,1,2,2,1
2010,2908.5234,2,2,2,2,5,2,4,0,3,2,4,2,2,0,1,4,2,0,0,2,3
2010,3447.98714,2,1,2,1,6,4,88,1,1,2,1,1,2,0,1,4,2,1,2,1,1
2010,3447.98714,2,1,2,1,6,4,88,1,1,2,1,1,2,0,1,4,2,1,2,1,3
2010,3447.98714,2,1,2,1,6,4,88,1,1,2,1,2,2,0,1,1,1,1,1,2,1
2010,3447.98714,2,1,2,1,6,4,88,1,1,2,1,2,2,0,1,1,1,1,1,2,1
2010,3575.83608,2,2,2,2,1,1,3,5,3,1,3,2,2,0,1,4,2,0,0,2,3
2010,2357.0567,1,3,2,3,6,2,88,1,3,2,5,1,2,0,1,2,1,1,1,2,3
2010,2810.35843,1,1,2,1,4,2,4,1,3,1,4,2,1,1,1,3,1,0,0,2,1
2010,3803.37736,2,1,2,1,5,1,4,0,1,2,4,1,2,0,1,4,2,1,2,,5
2010,1942.62305,1,1,2,1,7,4,2,0,3,2,5,1,2,0,1,4,2,0,0,2,2
2010,3645.64297,1,1,1,4,6,2,5,5,3,1,4,2,1,3,1,3,1,1,2,2,3
2010,5210.77955,1,1,2,1,2,1,5,1,3,2,4,2,2,0,1,4,2,0,0,2,4
2010,3185.29256,2,1,2,1,6,1,7,4,4,1,5,2,2,0,1,4,2,0,0,2,3
2010,3932.09628,2,1,2,1,3,1,1,0,1,2,3,2,2,0,1,4,2,0,0,2,5
2010,3411.54696,1,3,2,3,5,4,2,2,4,1,5,2,2,0,1,4,2,0,0,2,3
2010,4158.35206,1,2,2,2,6,2,88,5,1,1,4,2,3,5,1,2,1,0,0,2,1
2010,3111.56184,2,1,1,4,5,5,88,1,1,1,4,1,2,0,1,4,2,0,0,2,1
2010,3679.10864,1,1,2,1,7,2,7,0,1,2,2,1,2,0,1,4,2,0,0,1,1
2010,2880.94797,1,1,2,1,4,2,6,1,3,1,4,1,1,1,1,2,1,0,0,2,1
2010,4418.0026,1,1,1,4,1,1,3,1,3,1,5,2,2,0,1,3,1,1,1,2,4
2010,3952.30111,1,1,1,4,3,1,5,1,3,3,4,1,2,0,1,4,2,0,0,2,4
2010,3084.58552,1,2,2,2,8,1,88,1,3,3,5,2,2,0,1,4,2,0,0,2,1
2010,3291.6026,2,1,1,4,6,5,5,2,4,2,1,1,2,0,1,4,2,0,0,2,1
2010,3291.6026,2,1,1,4,6,5,5,2,4,2,1,2,2,0,1,4,2,0,0,1,1
2010,28571.76,1,2,2,2,6,1,5,1,1,1,4,1,1,3,1,3,1,0,0,2,3
2010,4161.90966,2,1,2,1,4,5,1,1,3,2,1,2,2,0,1,4,2,0,0,2,1
2010,4161.90966,2,1,2,1,4,5,1,1,3,2,1,2,2,0,1,4,2,0,0,2,1
2010,3557.79042,1,3,2,3,6,4,6,3,3,1,4,1,1,1,1,3,1,0,0,2,3
2010,3510.76884,1,1,2,1,4,1,1,2,4,1,4,2,2,0,1,4,2,0,0,2,5
2010,2335.16142,1,1,2,1,6,2,88,0,4,2,3,1,2,0,1,4,2,0,0,2,3
2010,6600.70786,1,2,2,2,6,3,88,1,3,3,3,1,2,0,2,5,3,0,0,1,2
2010,1903.49348,2,1,2,1,6,2,7,1,4,2,3,1,2,0,1,4,2,0,0,2,4
2010,3475.10112,1,1,2,1,6,1,1,1,4,3,3,2,2,0,1,4,2,0,0,2,5
2010,3303.23909,1,1,1,4,6,2,88,1,4,1,4,1,1,3,1,2,1,1,2,2,2
2010,5858.5933,2,2,2,2,4,1,1,1,3,3,3,2,2,0,1,4,2,0,0,1,5
2010,3709.54267,2,2,2,2,2,1,7,1,4,2,4,1,2,0,2,5,3,0,0,2,1
2010,3130.61383,2,1,2,1,7,2,88,5,4,1,5,2,2,0,1,4,2,0,0,2,3
2010,2320.33907,1,1,2,1,5,1,6,1,4,2,4,1,2,0,1,4,2,0,0,2,3
2010,1934.5983,2,1,1,4,7,4,88,0,4,2,1,1,1,2,1,3,1,0,0,,5
2010,3214.48216,2,1,2,1,5,1,88,3,4,1,4,1,2,0,2,5,3,0,0,2,3
2010,3214.48216,2,1,2,1,5,1,88,3,4,1,4,2,2,0,1,4,2,1,1,1,3
2010,3214.48216,2,1,2,1,5,1,88,3,4,1,3,2,2,0,1,4,2,0,0,2,3
2010,4761.62544,1,1,2,1,4,2,88,5,4,1,4,1,1,2,1,3,1,0,0,2,1
2010,2229.55999,1,1,2,1,6,1,3,5,4,1,3,1,2,0,1,1,1,0,0,1,1
2010,4020.80324,1,1,1,4,5,2,5,3,4,1,3,1,2,0,1,4,2,0,0,2,1
2010,4366.21592,1,2,2,2,2,1,3,5,4,1,4,2,3,5,2,5,3,0,0,2,3
2010,2860.38914,1,2,2,2,5,5,88,4,4,1,4,2,2,0,1,4,2,0,0,2,3
2010,4574.09,1,1,1,4,5,2,3,5,4,1,4,2,1,2,1,2,1,0,0,2,3
2010,3447.98977,1,1,2,1,6,2,7,1,4,2,4,2,3,5,1,2,1,1,1,2,3
2010,4894.20198,1,1,2,1,2,1,5,0,4,2,6,2,3,5,1,4,2,1,1,2,3
2010,3472.11519,2,2,2,2,4,1,1,2,3,1,4,1,1,3,1,3,1,0,0,2,2
2010,4806.91526,1,1,2,1,2,1,6,3,4,1,3,2,2,0,1,4,2,0,0,2,2
2010,5336.71853,2,2,2,2,4,1,4,1,4,2,4,1,1,3,1,3,1,0,0,2,2
2010,4356.9062,1,1,2,1,4,2,2,1,3,2,4,1,1,1,1,2,1,0,0,2,3
2010,4476.78394,2,1,2,1,4,2,2,1,3,2,4,1,1,1,1,2,1,0,0,2,3
2010,3845.31749,1,1,2,1,5,2,88,0,3,2,2,1,1,1,1,3,1,0,0,2,3
2010,3340.79395,2,1,2,1,5,1,6,1,4,3,3,2,2,0,1,2,1,0,0,2,2
2010,3340.79395,2,1,2,1,5,1,6,1,4,3,4,1,2,0,1,4,2,0,0,2,3
2010,3340.79395,2,1,2,1,5,1,6,1,4,3,3,1,3,5,1,4,2,1,1,2,2
2010,4980.93612,1,1,1,4,2,1,5,0,4,2,5,1,2,0,1,4,2,0,0,2,1
2010,4636.36504,1,1,2,1,1,1,3,3,4,1,3,1,2,0,1,1,1,1,2,1,2
2010,2220.01298,1,3,2,3,7,2,7,2,4,1,4,2,2,0,1,4,2,0,0,2,3
2010,3224.15771,2,1,1,4,6,1,2,5,4,1,4,2,1,1,1,1,1,0,0,2,3
2010,5089.53546,1,1,2,1,2,1,4,5,4,1,4,2,1,2,1,3,1,0,0,2,2
2010,5089.53546,1,1,2,1,2,1,4,5,4,1,4,1,2,0,1,4,2,0,0,2,3
2010,3422.96485,2,1,2,1,5,1,7,1,4,2,4,2,2,0,1,4,2,0,0,2,3
2010,3233.49057,2,1,2,1,5,1,7,1,4,2,3,1,2,0,1,1,1,0,0,2,5
2010,3486.96306,1,1,2,1,6,2,4,3,4,1,4,2,1,2,1,3,1,0,0,2,3
2010,3063.22338,2,1,2,1,6,2,6,1,3,3,3,1,2,0,1,4,2,0,0,2,5
2010,2221.59386,1,3,2,3,7,2,6,2,4,1,4,1,2,0,1,4,2,1,2,2,3
2010,3311.5056,2,1,2,1,6,2,7,0,4,2,4,2,2,0,1,4,2,0,0,2,3
2010,3755.03587,1,2,1,4,2,1,3,1,3,2,3,1,3,5,1,3,1,1,1,2,4
2010,4634.66341,1,2,2,2,3,1,5,1,4,1,3,1,2,0,1,4,2,0,0,2,2
2010,3388.14527,1,1,2,1,5,2,7,2,4,1,5,2,2,0,1,4,2,0,0,2,3
2010,2583.77618,2,2,2,2,6,4,4,4,2,1,1,1,2,0,2,5,3,0,0,1,1
2010,2583.77618,2,2,2,2,6,4,4,4,2,1,1,1,1,2,1,2,1,0,0,1,1
2010,2583.77618,2,2,2,2,6,4,4,4,2,1,1,1,1,2,1,3,1,0,0,2,1
2010,4289.0879,1,2,2,2,5,1,6,0,3,3,3,1,1,4,1,3,1,1,1,2,1
2010,3502.10594,1,1,2,1,6,1,6,0,2,2,4,1,2,0,1,4,2,0,0,2,3
2010,4959.81642,1,1,2,1,4,1,6,0,2,2,6,1,1,3,1,3,1,0,0,,3
2010,4959.81642,1,1,2,1,4,1,6,0,2,2,4,2,1,3,1,3,1,0,0,2,3
2010,4687.2181,2,1,2,1,3,1,4,0,3,3,1,1,2,0,1,4,2,0,0,2,3
2010,2056.20949,1,1,2,1,5,1,2,1,2,3,1,2,1,2,1,3,1,0,0,2,2
2010,3311.2828,2,2,2,2,8,2,3,1,2,2,4,2,3,5,1,4,2,0,0,2,3
2010,6492.01352,1,2,2,2,1,1,88,1,2,2,3,2,2,0,1,4,2,0,0,2,1
2010,3319.05233,1,1,2,1,7,2,7,0,3,2,4,1,3,5,1,4,2,0,0,2,3
2010,3277.19661,2,1,2,1,6,5,4,1,2,2,1,1,2,0,1,4,2,1,1,2,1
2010,3277.19661,2,1,2,1,6,5,4,1,2,2,1,1,2,0,1,4,2,1,1,2,1
2010,4817.44097,1,3,2,3,2,1,4,1,2,2,2,2,2,0,1,4,2,0,0,2,1
2010,5137.28345,1,1,2,1,4,1,1,1,3,2,2,1,2,0,1,4,2,0,0,2,1
2010,2397.7984,1,1,2,1,3,1,3,1,3,3,5,2,1,1,1,3,1,0,0,2,5
2010,2397.7984,1,1,2,1,3,1,3,1,3,3,4,2,1,1,1,3,1,0,0,2,5
2010,3495.09741,1,1,2,1,6,2,88,0,2,2,3,1,1,3,1,3,1,0,0,2,3
2010,39946.7014,2,1,2,1,5,1,6,0,2,2,3,2,2,0,1,4,2,0,0,2,5
2010,4202.68816,2,2,2,2,5,1,1,1,2,1,3,1,1,2,1,3,1,0,0,1,1
2010,2965.00849,1,1,2,1,6,1,2,1,2,3,1,2,2,0,1,4,2,0,0,2,3
2010,3280.79054,2,1,2,1,6,2,6,0,1,2,4,1,3,5,1,4,2,0,0,2,3
2010,2193.66602,1,1,2,1,6,2,88,0,3,2,5,2,2,0,1,4,2,0,0,2,3
2010,2870.77455,1,2,2,2,8,3,88,1,3,3,3,1,2,0,2,5,3,0,0,2,1
2010,2976.21569,1,2,2,2,7,1,1,3,3,1,4,2,2,0,1,4,2,0,0,2,5
2010,2896.07107,1,2,2,2,7,2,3,3,2,1,4,1,1,3,1,2,1,1,1,2,3
2010,2896.07107,1,2,2,2,7,2,3,3,2,1,4,2,1,1,1,2,1,0,0,2,3
2010,8619.25601,2,3,2,3,7,2,3,0,2,2,3,2,2,0,1,4,2,0,0,2,1
2010,3727.05251,1,1,2,1,5,2,88,1,2,2,4,1,2,0,1,4,2,0,0,2,3
2010,2205.63006,2,1,2,1,6,1,3,1,3,3,2,2,2,0,1,4,2,1,1,2,2
2010,1893.12731,2,1,2,1,7,4,5,3,2,1,2,2,2,0,1,4,2,0,0,2,3
2010,4032.76421,2,2,2,2,1,1,1,1,2,3,3,1,2,0,1,4,2,0,0,2,1
2010,2889.82725,2,1,1,4,7,4,3,0,3,3,2,1,2,0,1,4,2,0,0,1,2
2010,3177.99366,2,1,2,1,6,5,7,1,3,2,3,2,2,0,1,4,2,0,0,2,1
